暫定ID,タイトル,ステージ,難易度,書誌URL,1ページ目URL,コマ数,請求番号,文書番号,コンテンツデータURL,主題別,資料種別,災害種別,災害名（地震・津波）,画像データ有無,コレクション名1,タイトル,タイトル（かな）,頁数,大きさ,出版社等,出版年（西暦年月日）,キーワード,備考,刊行方式,地域,請求番号,文書番号,ID,緯度,経度,緯度2,経度2,著者等,災害年（和暦年月日）,災害年（西暦年月日）,災害年（西暦年月日）データ,災害年（西暦年月日）終了,災害年（西暦年月日）終了データ,地名,災害名（火山）,既刊史料集,所蔵元
L001208,風俗畫報臨時増刊第百二十六號　洪水被害録（中）,7,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L001208,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/011/000011904.jpg,35,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L001208,05.洪水,06.雑誌,,,有,01.和古書類,風俗畫報臨時増刊第百二十六號　洪水被害録（中）,ふうぞくがほうりんじぞうかんだいひゃくにじゅうろくごう　こうずいひがいろく（ちゅう）,32（含表紙）+折込図1,25.5×18.5,東陽堂支店（東京神田區通新石町三番地）,1896,,和綴　1冊（8冊を合冊したうちの5冊目、合冊による後補の表紙・外題あり「風俗画報増刊　大海嘯被害録・洪水地震被害録・諸國災害圖會」）　明治29年7月～9月水害について　絵図あり（一部カラー）,活字版（一部カラー）,25.長野（信濃）26.岐阜（美濃．飛騨）28.愛知（尾張．三河）32.京都（山城．丹波．丹後）,1.031,May-20,L001208,,,,,,明治29年7月～9月,,,,,,,,東京大学地震研究所図書室
L001209,風俗畫報臨時増刊第百二十八號　洪水被害録（下）,7,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L001209,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/011/000011939.jpg,37,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L001209,05.洪水,06.雑誌,,,有,01.和古書類,風俗畫報臨時増刊第百二十八號　洪水被害録（下）,ふうぞくがほうりんじぞうかんだいひゃくにじゅうはちごう　こうずいひがいろく（げ）,28（含表紙）+折込図4,25.5×18.5,東陽堂支店（東京神田區通新石町三番地）,1896,,和綴　1冊（8冊を合冊したうちの6冊目、合冊による後補の表紙・外題あり「風俗画報増刊　大海嘯被害録・洪水地震被害録・諸國災害圖會」）　明治29年7月～9月水害について　絵図あり（一部カラー）,活字版（一部カラー）,04.岩手（陸中）05.宮城（陸前）10.茨城（常陸）11.栃木（下野）12.群馬（上野）14.千葉（安房．上総．下総）16.神奈川（相模）20.富山（越中）21.石川（加賀．能登）22.福井（越前．若狭）24.山梨（甲斐）26.岐阜（美濃．飛騨）29.三重（伊勢．伊賀．志摩）31.滋賀（近江）32.京都（山城．丹波．丹後）33.大阪（摂津．和泉．河内）34.兵庫（播磨．但馬．淡路）35.奈良（大和）36.和歌山（紀伊）,1.031,Jun-20,L001209,,,,,,明治29年7月～9月,,,,,,,,東京大学地震研究所図書室
L001210,風俗畫報臨時増刊第百九十七號　明治三十二年八月諸國災害圖會,7,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L001210,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/011/000011976.jpg,56,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L001210,04.火事06.暴風雨,06.雑誌,,,有,01.和古書類,風俗畫報臨時増刊第百九十七號　明治三十二年八月諸國災害圖會,ふうぞくがほうりんじぞうかんだいひゃくきゅうじゅうななごう　めいじさんじゅうにねんはちがつしょこくさいがいずえ,55（含表紙）,25.5×18.5,東陽堂（東京神田區通新石町三番地）,1899,,和綴　1冊（8冊を合冊したうちの7冊目、合冊による後補の表紙・外題あり「風俗画報増刊　大海嘯被害録・洪水地震被害録・諸國災害圖會」）　明治32年7月・8月火事・暴風雨について　絵図あり（一部カラー）　文書番号2190と同じ,活字版（一部カラー）,16.神奈川（相模）20.富山（越中）34.兵庫（播磨．但馬．淡路）42.岡山（備前．備中．美作）46.四国地方（南海）47.徳島（阿波）48.香川（讃岐）49.愛媛（伊予）50.高知（土佐）58.鹿児島（薩摩．大隅）,1.031,Jul-20,L001210,,,,,,明治32年7月～8月,,,,,,,,東京大学地震研究所図書室
L001211,風俗畫報臨時増刊第百九十九號　明治三十二年十月各地災害圖會（前編之續）,7,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L001211,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/012/000012032.jpg,46,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L001211,03.津波06.暴風雨,06.雑誌,01.地震・津波,,有,01.和古書類,風俗畫報臨時増刊第百九十九號　明治三十二年十月各地災害圖會（前編之續）,ふうぞくがほうりんじぞうかんだいひゃくきゅうじゅうきゅうごう　めいじさんじゅうにねんじゅうがつかくちさいがいずえ（ぜんぺんのつづき）,41（含表紙）+折込図2,25.5×18.5,東陽堂（東京神田區通新石町三番地）,1899,,和綴　1冊（8冊を合冊したうちの8冊目、合冊による後補の表紙・外題あり「風俗画報増刊　大海嘯被害録・洪水地震被害録・諸國災害圖會」）　明治32年10月暴風雨について　絵図あり（一部カラー）,活字版（一部カラー）,11.栃木（下野）14.千葉（安房．上総．下総）15.東京16.神奈川（相模）27.静岡（駿河．遠江．伊豆）,1.031,Aug-20,L001211,,,,,,明治32年10月,,,,,,,,東京大学地震研究所図書室
L001213,[江戸鯰と信州鯰],7,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L001213,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/012/000012102.jpg,1,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L001213,01.地震,,01.地震・津波,245.安政江戸地震（安政2年10月2日）［1855年11月11日］,有,01.和古書類,[江戸鯰と信州鯰],[えどなまずとしんしゅうなまず],2,（右）36.6×25.1　（左）36.6×25.1,,,,折本装　横二枚組　漢字仮名混じり文あり　（No.45）　文書番号29733-13，40267（右半分のみ），2731-5，40268（左半分のみ）の異版（配色が若干異なる）,木版（多色刷）,15.東京,1.037,Feb-48,L001213,,,,,,,,,,,,,,東京大学地震研究所図書室
L001214,地震のすちゃらか,7,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L001214,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/012/000012103.jpg,1,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L001214,01.地震04.火事,,01.地震・津波,245.安政江戸地震（安政2年10月2日）［1855年11月11日］,有,01.和古書類,地震のすちゃらか,じしんのすちゃらか,1,36.3×24.6,,,,折本装　漢字仮名混じり文あり、ルビ付　（No.181）　文書番号29733-33と同じ,木版（多色刷）,15.東京,1.037,2470,L001214,,,,,,,,,,,,,,東京大学地震研究所図書室
L001215,持〇長者,7,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L001215,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/012/000012104.jpg,1,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L001215,01.地震,,01.地震・津波,245.安政江戸地震（安政2年10月2日）［1855年11月11日］,有,01.和古書類,持〇長者,もちまるちょうじゃ,1,35.4×24.6,,,,折本装　漢字仮名混じり文あり、ルビ付　（No.88）　文書番号29733-39と同じ　退色進行,木版（多色刷）,15.東京,1.037,Mar-31,L001215,,,,,,,,,,,,,,東京大学地震研究所図書室
L001216,[すい神のおしえにいのちたすかりて],7,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L001216,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/012/000012105.jpg,1,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L001216,01.地震04.火事,,01.地震・津波,245.安政江戸地震（安政2年10月2日）［1855年11月11日］,有,01.和古書類,[すい神のおしえにいのちたすかりて],[すいじんのおしえにいのちたすかりて],1,36.4×25.1,,,,折本装　漢字仮名混じり文あり、ルビ付　（No.55）　文書番号40270と同じ　破損あり（文字を一部欠く）、退色進行,木版（多色刷）,15.東京,1.037,Jan-77,L001216,,,,,,,,,,,,,,東京大学地震研究所図書室
L001217,入用御間商賣競,7,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L001217,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/012/000012106.jpg,1,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L001217,01.地震04.火事,,01.地震・津波,245.安政江戸地震（安政2年10月2日）［1855年11月11日］,有,01.和古書類,入用御間商賣競,いりようおあいだしょうばいくらべ,1,35.9×24.4,,,,折本装　漢字仮名混じり文あり　横二枚組のうちの右半分　（No.109）　文書番号2177-6と同じ　裁断により上部を少々欠く（文字の欠損はなし）,木版（多色刷）,15.東京,1.037,Jun-77,L001217,,,,,,,,,,,,,,東京大学地震研究所図書室
L001218,生捕ました三度の大地震,7,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L001218,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/012/000012107.jpg,1,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L001218,01.地震04.火事,,01.地震・津波,245.安政江戸地震（安政2年10月2日）［1855年11月11日］,有,01.和古書類,生捕ました三度の大地震,いけどりましたさんどのおおじしん,1,25.3×36.7,,,,折本装　漢字仮名混じり文あり、ルビ付　（No.63）　文書番号40263と同じ,木版（多色刷）,15.東京,1.037,2141,L001218,,,,,,,,,,,,,,東京大学地震研究所図書室
L000060,日食度,8,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000060,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/025/000025249.jpg,33,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000060,07.天文学,02.古文書,,,有,01.和古書類,日食度,にっしょくど,32（含表紙）,25.3×17.2,,1863,,和綴　1冊　天保10年の陰陽道に基づく日食に関する計算　絵図あり　石橋輛吉の写し　表紙に「石橋秘書」とあり,筆写本,,01.002-2,石本文庫99,L000060,,,,,随朝陳（平安）,,,,,,,,,東京大学地震研究所図書室
L000065,日蝕録　全,8,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000065,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/025/000025450.jpg,56,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000065,07.天文学,03.文書,,,有,01.和古書類,日蝕録　全,にっしょくろく　ぜん,51（含表紙）+折込2紙,22.6×15.4,,,,和綴　1冊　内題：明治二十年八月十九日日蝕　日蝕畧記　見返し題：百年一度明治日蝕録　明治20年8月19日の日蝕の記録　絵図あり　,筆写本（稿本ヵ）,60.全国（諸国）,01.002-3,石本文庫104,L000065,,,,,原沢仲 編輯,,,,,,,,,東京大学地震研究所図書室
L000066,天明奇畧　全,8,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000066,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/025/000025506.jpg,54,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000066,01.地震02.火山03.津波11.その他,02.古文書,01.地震・津波 / 02.火山,,有,01.和古書類,天明奇畧　全,てんめいきりゃく　ぜん,53（含表紙）,24.1×16.6,,1860,,和綴　1冊　医者橘石見之助の天明期飢饉見聞記、救荒食について　天明2年7月15日の地震・天明3年の浅間山噴火・天明6年夏秋の霖雨大水・その後の諸国凶作・米穀高騰・大坂や江戸の騒動についても記述あり　万延元年申卯月15日山下氏の写し,筆写本,03.青森（陸奥）12.群馬（上野）15.東京16.神奈川（相模）25.長野（信濃）33.大阪（摂津．和泉．河内）,01.002-3,石本文庫105,L000066,,,,,,天明2年7月15日（他）,,,,,,1783.浅間山（天明3年）[1783年],,東京大学地震研究所図書室
L000082,天地或問珍　天,8,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000082,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/025/000025560.jpg,59,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000082,01.地震07.天文学09.気象11.その他,02.古文書,,,有,01.和古書類,天地或問珍　天,てんちわくもんちん　てん,58（含表紙）,21.8×15.3,（須原屋茂兵衛　ほか）　,,,和綴　1冊（2冊の内）　巻之一（一～三）　雷・雨・地震などの自然現象についての解説　序（宝永七庚寅歳正月上浣　養正斎三浦義泰）・自序（宝永七春庚寅正月上澣　三州田原ノ後学　兒嶋不求　投筆於武江寓舎）あり　書き入れあり　蔵書印あり（山楽蔵書）　文書番号石本文庫119-2と一具　,木版,,01.003-2,石本文庫119-1,L000082,,,,,児島正長（不求斎）,,,,,,,,,東京大学地震研究所図書室
L000083,天地或問珍　地,8,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000083,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/025/000025619.jpg,62,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000083,11.その他,02.古文書,,,有,01.和古書類,天地或問珍　地,てんちわくもんちん　ち,61（含表紙）,21.8×15.4,須原屋茂兵衛（江戸日本橋南壹丁目）（ほか10名）,,,和綴　1冊（2冊の内）　巻之二（四～六）　狐火や天狗など不思議な事象についての解説　乱丁あり（五の13丁目が17丁目の後にあり）　最後の丁に和歌の書き入れあり　蔵書印あり（山楽蔵書）　文書番号石本文庫119-1と一具,木版,,01.003-2,石本文庫119-2,L000083,,,,,児島正長（不求斎）,,,,,,,,,東京大学地震研究所図書室
L000084,天文方御廻御先触写,8,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000084,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/025/000025681.jpg,7,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000084,10.測地,02.古文書,,,有,01.和古書類,天文方御廻御先触写,てんもんかたおまわりおさきぶれうつし,6（含表紙）,25.6×16.7,,1812,,和綴　1冊　未之十一月（文化8年）に出された触書の写し（文化8年11月25日に江戸を出立した伊能忠敬による第8回全国測量について）,筆写本,25.長野（信濃）,01.003-2,石本文庫120,L000084,,,,,夏和村名主,,,,,,夏和村,,,東京大学地震研究所図書室
L000342,平天儀圖解,8,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000342,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/025/000025688.jpg,45,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000342,01.地震07.天文学,02.古文書,,,有,01.和古書類,平天儀圖解,へいてんぎずかい,44（含表紙）,25.3×18.0,泉南　巌橋嘉孝耕?堂蔵版 / 大坂書林弘所（森本太助・泉本八兵衛・山口又一・柳原喜兵衛・池内八兵衛）,1802,,和綴　1冊　内題・外題なし、タイトルは目録題・柱題から　天文学に関する知識書　絵図あり（一部の絵には仕掛けあり）　蔵書印あり（地震研究所図書）,木版,,01.010-3,2296,L000342,,,,,彫工 堺 井上重左衛門・同重兵衛,享和2年,,,,,,,,東京大学地震研究所図書室
L000343,天象話説,8,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000343,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/025/000025733.jpg,33,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000343,07.天文学08.地理学11.その他,02.古文書,,,有,01.和古書類,天象話説,てんしょうわせつ,32（含表紙）,28.0×19.3,,,,仮綴　1冊　表紙共紙　天文学・地理学の考証　蔵書印あり（地震研究所図書）,筆写本,,01.010-4,2297,L000343,,,,,（朝野北水 著 / 吉田尚典 編）,,,,,,,,,東京大学地震研究所図書室
L000369,星学圖彙,8,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000369,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/025/000025766.jpg,32,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000369,07.天文学,03.文書,,,有,01.和古書類,星学圖彙,せいがくずい,29（含表紙）,22.7×15.5,,,,折本装　1冊（3冊の内）　天文・星・地球に関する図説集、「星学図説」の付図　絵図あり　印あり（高柿・八風社印）　文書番号2374-2・3と一具,石版印刷ヵ,,01.011-3,Jan-74,L000369,,,,,,,,,,,,,,東京大学地震研究所図書室
L000370,星学圖説　上,8,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000370,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/025/000025798.jpg,48,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000370,07.天文学,03.文書,,,有,01.和古書類,星学圖説　上,せいがくずせつ　じょう,47（含表紙）,22.6×15.4,求故堂蔵版　東京 中外堂 発行　書林 紀伊國屋源兵衛（東京宝町三丁目）,-1871,,和綴　1冊（3冊の内）　慶応3年刊の洋書『イルリューストーテット、アストロノミイ』を訳したもの、天文に関する対話形式の解説　朱印あり（八風社之印）　蔵書印あり（若林・地震研究所図書）　文書番号2374-1・3と一具,木版,,01.011-3,Feb-74,L000370,,,,,米國學士 スミット 原著 / 神田孟恪 訳,,,,,,,,,東京大学地震研究所図書室
L000371,星学圖説　下,8,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000371,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/025/000025846.jpg,50,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000371,01.地震07.天文学11.その他,03.文書,,,有,01.和古書類,星学圖説　下,せいがくずせつ　げ,48（含表紙）,22.6×15.4,求故堂蔵版　東京 中外堂 発行　書林 紀伊國屋源兵衛（東京宝町三丁目）,-1871,,和綴　1冊（3冊の内）　慶応3年刊の洋書『イルリューストーテット、アストロノミイ』を訳したもの、天文に関する対話形式の解説　朱印あり（八風社之印）　蔵書印あり（若林・地震研究所図書）　文書番号2374-1・2と一具,木版,,01.011-3,Mar-74,L000371,,,,,（米國學士 スミット 原著） / 神田孟恪 訳 / 竹口瀧三郎（神田旅籠町一丁目） 彫刻,,,,,,,,,東京大学地震研究所図書室
L000373,護法新論　上,8,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000373,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/025/000025896.jpg,38,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000373,07.天文学11.その他,02.古文書,,,有,01.和古書類,護法新論　上,ごほうしんろん　じょう,37（含表紙）,22.5×15.7,清明館蔵梓,,,和綴　1冊（3冊の内）　天文・地球に関する科学知識について　丁卯午月　憂道齋主人の序、自序、凡例あり　絵図あり　蔵書印あり（地震研究所図書）　文書番号2376（イ）-2・3と一具,木版,,01.011-4,2376(イ)-1,L000373,,,,,勝圀道人 著,,,,,,,,,東京大学地震研究所図書室
L000374,護法新論　中,8,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000374,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/025/000025934.jpg,41,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000374,07.天文学11.その他,02.古文書,,,有,01.和古書類,護法新論　中,ごほうしんろん　ちゅう,39（含表紙）,22.5×15.7,清明館蔵梓,,,和綴　1冊（3冊の内）　天文・地球に関する科学知識について　絵図あり　蔵書印あり（地震研究所図書）　文書番号2376（イ）-1・3と一具,木版,,01.011-4,2376(イ)-2,L000374,,,,,勝圀道人 著,,,,,,,,,東京大学地震研究所図書室
L000375,護法新論　下,8,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000375,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/025/000025975.jpg,40,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000375,07.天文学11.その他,02.古文書,,,有,01.和古書類,護法新論　下,ごほうしんろん　げ,40（含表紙）,22.5×15.7,清明館蔵梓,,,和綴　1冊（3冊の内）　天文・地球に関する科学知識について　巻末に問答の附録と上・中・下巻の標目あり　絵図あり　蔵書印あり（地震研究所図書）　文書番号2376（イ）-1・2と一具,木版,,01.011-4,2376(イ)-3,L000375,,,,,勝圀道人 著,,,,,,,,,東京大学地震研究所図書室
L000376,護法新論　二編　上,8,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000376,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/026/000026015.jpg,48,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000376,07.天文学11.その他,03.文書,,,有,01.和古書類,護法新論　二編　上,ごほうしんろん　にへん　じょう,47（含表紙）,22.5×15.5,圓月館蔵梓,,,和綴　1冊（3冊の内）　護法新論の続編、天文・地球に関する科学的知識について　自序、凡例あり　絵図あり　蔵書印あり（地震研究所図書）　文書番号2376（ロ）-2・3と一具,木版,,01.011-4,2376(ロ)-1,L000376,,,,,勝圀道人（勝圀隠士） 著,,,,,,,,,東京大学地震研究所図書室
L000377,護法新論　二編　中,8,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000377,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/026/000026063.jpg,44,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000377,07.天文学11.その他,03.文書,,,有,01.和古書類,護法新論　二編　中,ごほうしんろん　にへん　ちゅう,43（含表紙）,22.4×15.5,圓月館蔵梓,,,和綴　1冊（3冊の内）　護法新論の続編、天文・地球に関する科学的知識について　絵図あり　蔵書印あり（地震研究所図書）　文書番号2376（ロ）-1・3と一具,木版,,01.011-4,2376(ロ)-2,L000377,,,,,勝圀道人（勝圀隠士） 著,,,,,,,,,東京大学地震研究所図書室
L000378,護法新論　二編　下,8,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000378,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/026/000026107.jpg,46,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000378,07.天文学11.その他,03.文書,,,有,01.和古書類,護法新論　二編　下,ごほうしんろん　にへん　げ,45（含表紙）,22.4×15.5,圓月館蔵梓,,,和綴　1冊（3冊の内）　護法新論の続編、天文・地球に関する科学的知識について　凡例あり　絵図あり　蔵書印あり（地震研究所図書）　文書番号2376（ロ）-1・2と一具,木版,,01.011-4,2376(ロ)-3,L000378,,,,,勝圀道人（勝圀隠士） 著,,,,,,,,,東京大学地震研究所図書室
L000385,天經或問　序圖,8,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000385,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/026/000026153.jpg,46,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000385,07.天文学,02.古文書,,,有,01.和古書類,天經或問　序圖,てんけいわくもん　じょず,45（含表紙）,25.7×18.0,（大阪書坊　山口又一（心斎橋通北久太郎町）・泉本八兵衛（同通南久寳寺町））,,,和綴　1冊（4冊の内）　天文学について　享保15年竹軒木寅亮の合刻天經惑問天學名目鈔序、新刻天經惑問凡例、天經惑問序、古今天學家（一覧）、引用書目、図からなる　絵図あり　蔵書印あり（地震研究所図書ほか）　文書番号2378（イ）-2・3，2378（ロ）-2と一具,木版,,01.012-2,2378(イ)-1,L000385,,,,,游子六先生（清・游藝） 輯 / 西川先生（西川忠次郎源正休） 訓點,,,,,,,,,東京大学地震研究所図書室
L000386,天經或問　天,8,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000386,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/026/000026199.jpg,55,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000386,07.天文学,02.古文書,,,有,01.和古書類,天經或問　天,てんけいわくもん　てん,54（含表紙）,25.4×18.1,（大阪書坊　山口又一（心斎橋通北久太郎町）・泉本八兵衛（同通南久寳寺町））,,,和綴　1冊（4冊の内）　天文学について　地巻の奥付には「天經惑問　全部三部」とあり　蔵書印あり（地震研究所図書ほか）　文書番号2378（イ）-1・3，2378（ロ）-2と一具,木版,,01.012-2,2378(イ)-2,L000386,,,,,游子六先生（清・游藝） 輯 / 西川先生（西川忠次郎源正休） 訓點,,,,,,,,,東京大学地震研究所図書室
L000387,天經或問　地,8,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000387,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/026/000026254.jpg,55,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000387,01.地震07.天文学09.気象,02.古文書,,,有,01.和古書類,天經或問　地,てんけいわくもん　ち,54（含表紙）,25.4×18.2,大阪書坊　山口又一（心斎橋通北久太郎町）・泉本八兵衛（同通南久寳寺町）,,,和綴　1冊（4冊の内）　天文学について　巻末に享保15年侍医法眼長尾分哲男全庵の「合刻天經惑問天學名目鈔跋」、崇髙堂蔵版目録あり　蔵書印あり（地震研究所図書ほか）　文書番号2378（イ）-1・2，2378（ロ）-2と一具,木版,,01.012-2,2378(イ)-3,L000387,,,,,游子六先生（清・游藝） 輯 / 西川先生（西川忠次郎源正休） 訓點,,,,,,,,,東京大学地震研究所図書室
